Freeware Advanced Audio Coder
FAAC 1.50.0

Quantization quality: 100
Bandwidth: 24000 Hz
PNS level: 4
Object type: Low Complexity (MPEG-4) + M/S + PNS
Container format: Transport Stream (ADTS)
Encoding /opt/faac-benchmark/data/external/audio/Robots_old.16b48k.wav to /dev/null
         frame         | bitrate | elapsed/estim | play/CPU | ETA
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_O: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_I: sfb=47
MS_MONO_I: sfb=48
MS_MONO_O: sfb=8
MS_MONO_O: sfb=10
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_O: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_O: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_O: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_O: sfb=39
MS_MONO_O: sfb=40
MS_MONO_I: sfb=41
MS_MONO_O: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_O: sfb=45
MS_MONO_I: sfb=46
MS_MONO_I: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=10
MS_MONO_O: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=26
MS_MONO_O: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_O: sfb=37
MS_MONO_I: sfb=38
MS_MONO_O: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=46
MS_MONO_O: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_O: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=21
MS_MONO_O: sfb=22
MS_MONO_O: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_O: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_O: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_I: sfb=46
MS_MONO_O: sfb=47
MS_MONO_I: sfb=48
MS_MONO_O: sfb=10
MS_MONO_O: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_O: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_I: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=8
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_O: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_I: sfb=23
MS_MONO_O: sfb=24
MS_MONO_I: sfb=25
MS_MONO_O: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_O: sfb=30
MS_MONO_I: sfb=31
MS_MONO_O: sfb=32
MS_MONO_O: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_O: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_O: sfb=43
MS_MONO_O: sfb=44
MS_MONO_O: sfb=45
MS_MONO_I: sfb=46
MS_MONO_I: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=8
MS_MONO_I: sfb=11
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=46
MS_MONO_O: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=8
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=21
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_O: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_I: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=1
MS_MONO_I: sfb=2
MS_MONO_I: sfb=3
MS_MONO_I: sfb=6
MS_MONO_I: sfb=7
MS_MONO_I: sfb=8
MS_MONO_I: sfb=9
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_O: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_O: sfb=23
MS_MONO_I: sfb=24
MS_MONO_O: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_O: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_O: sfb=45
MS_MONO_O: sfb=46
MS_MONO_I: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=14
MS_MONO_O: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_O: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_O: sfb=25
MS_MONO_O: sfb=26
MS_MONO_O: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_O: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_I: sfb=46
MS_MONO_O: sfb=47
MS_MONO_I: sfb=48
MS_MONO_O: sfb=8
MS_MONO_I: sfb=11
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_I: sfb=23
MS_MONO_O: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_O: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_O: sfb=36
MS_MONO_I: sfb=37
MS_MONO_O: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_O: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_I: sfb=46
MS_MONO_I: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=8
MS_MONO_I: sfb=10
MS_MONO_O: sfb=11
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=19
MS_MONO_O: sfb=20
MS_MONO_I: sfb=21
MS_MONO_O: sfb=23
MS_MONO_O: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_O: sfb=34
MS_MONO_O: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_O: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=46
MS_MONO_I: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_O: sfb=15
MS_MONO_O: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_O: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_O: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=46
MS_MONO_O: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=8
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_O: sfb=19
MS_MONO_O: sfb=21
MS_MONO_I: sfb=23
MS_MONO_O: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_O: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_O: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_O: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_O: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_I: sfb=46
MS_MONO_I: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=8
MS_MONO_O: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_O: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_O: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_O: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_O: sfb=28
MS_MONO_O: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_O: sfb=36
MS_MONO_I: sfb=37
MS_MONO_O: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_O: sfb=42
MS_MONO_O: sfb=43
MS_MONO_O: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=46
MS_MONO_I: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=8
MS_MONO_I: sfb=9
MS_MONO_O: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_O: sfb=21
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_O: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_O: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=46
MS_MONO_O: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=8
MS_MONO_I: sfb=9
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=21
MS_MONO_I: sfb=23
MS_MONO_O: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_O: sfb=30
MS_MONO_I: sfb=32
MS_MONO_O: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_O: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_O: sfb=41
MS_MONO_I: sfb=42
MS_MONO_O: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_I: sfb=46
MS_MONO_I: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_O: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_O: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_O: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_O: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=46
MS_MONO_I: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=9
MS_MONO_I: sfb=10
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_O: sfb=19
MS_MONO_I: sfb=20
MS_MONO_O: sfb=21
MS_MONO_O: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_O: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_O: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_O: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_O: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_O: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_I: sfb=46
MS_MONO_I: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=8
MS_MONO_I: sfb=10
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=15
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_O: sfb=19
MS_MONO_O: sfb=21
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_O: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_O: sfb=29
MS_MONO_I: sfb=30
MS_MONO_O: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_O: sfb=41
MS_MONO_I: sfb=42
MS_MONO_O: sfb=43
MS_MONO_I: sfb=44
MS_MONO_O: sfb=45
MS_MONO_I: sfb=46
MS_MONO_O: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=10
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_O: sfb=26
MS_MONO_I: sfb=27
MS_MONO_O: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_O: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_O: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_O: sfb=43
MS_MONO_I: sfb=44
MS_MONO_O: sfb=45
MS_MONO_O: sfb=46
MS_MONO_O: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_O: sfb=20
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_O: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_O: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_O: sfb=40
MS_MONO_I: sfb=41
MS_MONO_O: sfb=42
MS_MONO_I: sfb=43
MS_MONO_O: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=46
MS_MONO_O: sfb=47
MS_MONO_I: sfb=48
MS_MONO_O: sfb=9
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_O: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_I: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_O: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_I: sfb=21
MS_MONO_I: sfb=23
MS_MONO_O: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_O: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_O: sfb=36
MS_MONO_I: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_I: sfb=42
MS_MONO_O: sfb=43
MS_MONO_I: sfb=44
MS_MONO_O: sfb=45
MS_MONO_I: sfb=46
MS_MONO_O: sfb=47
MS_MONO_I: sfb=48
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=14
MS_MONO_I: sfb=15
MS_MONO_O: sfb=16
MS_MONO_I: sfb=17
MS_MONO_I: sfb=18
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_O: sfb=21
MS_MONO_I: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_O: sfb=30
MS_MONO_I: sfb=31
MS_MONO_O: sfb=32
MS_MONO_I: sfb=33
MS_MONO_I: sfb=34
MS_MONO_I: sfb=35
MS_MONO_I: sfb=36
MS_MONO_O: sfb=37
MS_MONO_I: sfb=38
MS_MONO_I: sfb=39
MS_MONO_I: sfb=40
MS_MONO_O: sfb=41
MS_MONO_I: sfb=42
MS_MONO_I: sfb=43
MS_MONO_I: sfb=44
MS_MONO_I: sfb=45
MS_MONO_O: sfb=46
MS_MONO_O: sfb=47
MS_MONO_O: sfb=48
MS_MONO_I: sfb=10
MS_MONO_I: sfb=11
MS_MONO_I: sfb=12
MS_MONO_I: sfb=13
MS_MONO_I: sfb=15
MS_MONO_I: sfb=17
MS_MONO_I: sfb=19
MS_MONO_I: sfb=20
MS_MONO_O: sfb=21
MS_MONO_O: sfb=23
MS_MONO_I: sfb=24
MS_MONO_I: sfb=25
MS_MONO_I: sfb=26
MS_MONO_I: sfb=27
MS_MONO_I: sfb=28
MS_MONO_I: sfb=29
MS_MONO_O: sfb=30
MS_MONO_I: sfb=31
MS_MONO_I: sfb=32
MS_MONO_I: sfb=33
